,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Car_Age
4668,4807,Skoda Superb Style 1.8 TSI AT,Delhi,2013,80000,Second,1467,1798,17746,5.0,3254,7.25,0,1,1,0,10
4672,4811,Mahindra Thar CRDe,Coimbatore,2017,28599,First,1655,2498,105,6.0,1171,9.66,1,0,0,1,6
4680,4819,Datsun redi-GO T,Kolkata,2016,15000,First,227,799,5364,5.0,398,2.25,0,1,0,1,7
4687,4826,Maruti Alto K10 VXI,Kochi,2015,23876,First,2407,998,671,5.0,409,3.46,0,1,0,1,8
4701,4841,BMW 3 Series 320d,Hyderabad,2011,89000,First,2269,1995,190,5.0,472,13.95,1,0,1,0,12
4704,4844,Maruti Wagon R VXI 1.2,Kolkata,2014,37000,First,215,1197,8180,5.0,556,2.8,0,1,0,1,9
4718,4858,Audi A4 35 TDI Technology,Hyderabad,2017,14000,First,1825,1968,18774,5.0,5561,43.0,1,0,1,0,6
4723,4863,Hyundai Santro D Lite,Chennai,2001,140000,Third,203,1086,68,5.0,455,0.7,0,1,0,1,22
4733,4873,Maruti Baleno Alpha,Chennai,2016,16000,First,214,1197,831,5.0,88,6.95,0,1,0,1,7
4737,4877,Tata Nexon 1.2 Revotron XZ Plus,Coimbatore,2018,17477,First,170,1198,1085,5.0,1113,9.62,0,1,0,1,5
4740,4880,Maruti Wagon R LXI,Kochi,2014,52431,First,225,998,6704,5.0,459,3.01,0,1,0,1,9
4746,4887,Maruti Vitara Brezza ZDi Plus,Kochi,2018,57078,First,243,1248,885,5.0,1158,10.19,1,0,0,1,5
4753,4894,Maruti Baleno Alpha Diesel,Hyderabad,2017,24000,First,2739,1248,74,5.0,1063,8.4,1,0,0,1,6
4760,4902,Maruti Baleno Alpha CVT,Mumbai,2018,3000,First,214,1197,831,5.0,103,8.85,0,1,1,0,5
4765,4907,Honda City i-VTEC VX,Ahmedabad,2017,29000,First,174,1497,1173,5.0,1268,10.0,0,1,0,1,6
4772,4914,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2017,24000,First,179,2143,170,5.0,5977,46.95,1,0,1,0,6
4783,4926,Hyundai Creta 1.6 SX Option Executive,Coimbatore,2018,44383,First,158,1591,1213,5.0,177,13.25,0,1,0,1,5
4786,4929,Hyundai Creta 1.6 SX,Delhi,2016,69000,First,158,1591,1213,5.0,1423,9.7,0,1,0,1,7
4791,4934,Maruti Dzire AMT VDI,Coimbatore,2018,25082,First,284,1248,7375,5.0,962,8.37,1,0,1,0,5
4799,4942,Audi A4 35 TDI Premium Plus,Coimbatore,2014,28469,First,1825,1968,18774,5.0,5314,24.37,1,0,1,0,9
4807,4950,Ford Aspire Titanium Diesel,Kolkata,2017,60048,First,261,1498,99,5.0,891,6.0,1,0,0,1,6
4817,4961,Maruti Dzire AMT ZXI Plus,Coimbatore,2019,8018,First,220,1197,8180,5.0,1026,8.3,0,1,1,0,4
4824,4968,Tata Tiago AMT 1.2 Revotron XZA,Pune,2018,2000,First,2384,1199,8383,5.0,694,5.0,0,1,1,0,5
4829,4973,Hyundai Verna CRDi 1.6 SX Option,Hyderabad,2008,109606,First,220,1582,1262,5.0,1559,2.9,1,0,0,1,15
4834,4978,Honda Amaze V CVT Petrol,Kochi,2019,25717,First,190,1199,8876,5.0,947,8.86,0,1,1,0,4
4837,4981,Honda Jazz VX,Chennai,2017,8000,First,182,1199,887,5.0,91,7.9,0,1,0,1,6
4840,4984,Hyundai Creta 1.6 SX Option Diesel,Coimbatore,2019,24864,First,205,1582,1262,5.0,1918,16.27,1,0,0,1,4
4844,4988,BMW 5 Series 530d M Sport,Hyderabad,2016,27000,First,1859,2993,265,5.0,7831,48.0,1,0,1,0,7
4845,4989,Audi A3 35 TDI Premium Plus,Mumbai,2016,39000,First,2038,1968,143,5.0,4289,18.9,1,0,1,0,7
4854,4998,Volkswagen Polo 1.5 TDI Comfortline,Jaipur,2015,66000,First,2014,1498,88,5.0,956,4.91,1,0,0,1,8
4858,5002,BMW X3 xDrive 20d xLine,Kochi,2017,36723,First,1856,1995,190,5.0,6476,32.57,1,0,1,0,6
4864,5009,Audi Q7 45 TDI Quattro Technology,Pune,2017,59500,First,1475,2967,245,7.0,9992,68.0,1,0,1,0,6
4873,5018,Honda Jazz VX Diesel,Hyderabad,2017,17151,First,273,1498,986,5.0,1105,8.4,1,0,0,1,6
4885,5030,Maruti Vitara Brezza LDi,Kochi,2018,32539,First,243,1248,885,5.0,863,8.39,1,0,0,1,5
4893,5038,Land Rover Discovery Sport TD4 HSE 7S,Coimbatore,2019,24013,First,1281,1999,14831,7.0,6922,56.14,1,0,1,0,4
4904,5049,Jeep Compass 2.0 Sport,Kolkata,2017,27000,First,171,1956,170,5.0,1845,15.0,1,0,0,1,6
4914,5059,Maruti Vitara Brezza ZDi,Coimbatore,2017,58829,First,243,1248,885,5.0,989,9.05,1,0,0,1,6
4917,5062,Maruti Celerio LXI MT,Kolkata,2018,30000,First,231,998,6704,5.0,487,3.75,0,1,0,1,5
4932,5078,Maruti Vitara Brezza ZDi,Coimbatore,2017,21789,First,243,1248,885,5.0,11,9.88,1,0,0,1,6
4933,5079,Hyundai Elite i20 Asta Option,Coimbatore,2019,21134,First,186,1197,8186,5.0,978,8.78,0,1,0,1,4
4940,5086,Maruti Dzire VDI,Hyderabad,2013,68434,First,284,1248,7375,5.0,914,5.5,1,0,0,1,10
4941,5087,Maruti Alto K10 VXI,Pune,2014,17000,First,2407,998,671,5.0,448,2.1,0,1,0,1,9
4944,5090,Hyundai Verna CRDi 1.6 SX Option,Mumbai,2013,79225,First,220,1582,1262,5.0,1557,5.5,1,0,0,1,10
4956,5102,Maruti Wagon R VXI,Kochi,2019,31817,First,225,998,6704,5.0,512,5.34,0,1,0,1,4
4961,5107,Mercedes-Benz GLE 250d,Hyderabad,2016,50000,First,179,2143,20115,5.0,7943,49.0,1,0,1,0,7
4965,5111,Tata Zest Quadrajet 1.3 75PS XE,Kolkata,2017,45000,First,2295,1248,74,5.0,794,3.75,1,0,0,1,6
4972,5118,Mercedes-Benz GLE 350d,Bangalore,2016,28541,First,1157,2987,25479,5.0,9513,60.75,1,0,1,0,7
4980,5127,Nissan Micra XV CVT,Kolkata,2011,44000,First,1915,1198,7594,5.0,873,2.65,0,1,1,0,12
4986,5133,Tata Zest Revotron 1.2 XT,Coimbatore,2015,27000,First,1757,1193,887,5.0,869,5.27,0,1,0,1,8
4988,5135,Honda Jazz VX Diesel,Chennai,2016,14980,First,273,1498,986,5.0,1081,7.4,1,0,0,1,7
5019,5166,Mercedes-Benz CLA 200 CDI Sport,Jaipur,2017,39000,First,179,2143,136,5.0,424,27.0,1,0,1,0,6
5025,5172,Toyota Corolla Altis 1.8 GL,Coimbatore,2015,53920,First,1428,1798,13803,5.0,2337,10.77,0,1,0,1,8
5028,5175,BMW 5 Series 530d M Sport,Chennai,2010,58000,First,1859,2993,265,5.0,7978,11.75,1,0,1,0,13
5033,5181,Tata Zest Revotron 1.2T XM,Kochi,2015,39208,First,1757,1193,887,5.0,763,4.52,0,1,0,1,8
5035,5183,Honda City i-VTEC VX,Coimbatore,2013,38622,First,174,1497,1173,5.0,1268,6.26,0,1,0,1,10
5040,5188,Hyundai Verna CRDi 1.6 AT SX Plus,Bangalore,2012,79000,First,220,1582,1262,5.0,166,5.25,1,0,1,0,11
5052,5200,Renault KWID Climber 1.0 AMT,Coimbatore,2018,38171,Second,225,999,67,5.0,572,4.99,0,1,1,0,5
5059,5207,Renault KWID 1.0 RXT Optional AMT,Kochi,2017,53105,First,225,999,67,5.0,493,4.41,0,1,1,0,6
5063,5211,Mahindra Bolero ZLX,Coimbatore,2017,68557,First,1596,2523,621,7.0,1128,8.14,1,0,0,1,6
5064,5212,Volkswagen Vento 1.5 TDI Highline,Hyderabad,2016,34000,First,2064,1498,1085,5.0,142,8.45,1,0,0,1,7
5080,5229,BMW 3 Series 320d,Bangalore,2012,73000,First,2269,1995,190,5.0,4879,12.5,1,0,1,0,11
5081,5230,Ford EcoSport 1.5 Diesel Trend,Kochi,2017,63423,First,230,1498,9896,5.0,1042,7.69,1,0,0,1,6
5088,5237,Hyundai Creta 1.6 SX Option,Kochi,2018,53322,First,158,1591,1213,5.0,1606,12.13,0,1,0,1,5
5092,5241,Ford EcoSport 1.5 Petrol Titanium,Hyderabad,2017,21800,First,170,1497,12136,5.0,1127,8.75,0,1,0,1,6
5100,5249,Ford Freestyle Titanium Plus Petrol,Jaipur,2018,1001,First,190,1194,9468,5.0,844,7.23,0,1,0,1,5
5105,5254,Hyundai Elantra 1.6 SX,Pune,2013,170000,First,2254,1582,1262,5.0,2087,7.5,1,0,0,1,10
5107,5256,Maruti Vitara Brezza ZDi Plus Dual Tone,Pune,2016,85000,First,243,1248,885,5.0,1196,8.9,1,0,0,1,7
5111,5260,Toyota Etios Cross 1.4L VD,Jaipur,2014,62322,First,2359,1364,6706,5.0,955,4.9,1,0,0,1,9
5112,5261,Maruti Alto K10 VXI,Kochi,2015,37929,First,2407,998,671,5.0,409,3.69,0,1,0,1,8
5113,5262,Tata Tiago 1.2 Revotron XM Option,Chennai,2016,5400,First,2384,1199,84,5.0,545,3.98,0,1,0,1,7
5117,5266,Volkswagen Ameo 1.2 MPI Highline,Kochi,2017,14576,First,170,1198,7375,5.0,838,6.69,0,1,0,1,6
5118,5267,Honda BRV i-VTEC V CVT,Mumbai,2017,17000,First,160,1497,1173,7.0,1502,9.5,0,1,1,0,6
5122,5271,Maruti Celerio ZXI Optional AMT,Kochi,2018,12278,First,231,998,6704,5.0,595,5.63,0,1,1,0,5
5123,5272,Hyundai Creta 1.6 SX,Coimbatore,2018,17665,First,158,1591,1213,5.0,1536,11.78,0,1,0,1,5
5130,5279,Tata Zest Revotron 1.2T XE,Kolkata,2017,65000,First,1757,1193,887,5.0,659,4.8,0,1,0,1,6
5131,5280,Volkswagen Vento 1.6 Comfortline,Kolkata,2014,38000,First,1609,1598,1035,5.0,1094,3.49,0,1,0,1,9
5141,5290,Volkswagen Polo 1.5 TDI Highline,Hyderabad,2016,29647,First,2014,1498,88,5.0,1015,6.3,1,0,0,1,7
5142,5291,Maruti Baleno RS Petrol,Kochi,2018,43639,First,211,998,100,5.0,983,8.15,0,1,0,1,5
5155,5304,BMW 3 Series Luxury Line,Bangalore,2017,21000,First,2176,1995,190,5.0,6207,35.0,1,0,1,0,6
5159,5308,Maruti Dzire VXI,Pune,2013,74000,First,220,1197,8180,5.0,767,4.5,0,1,0,1,10
5161,5310,Volkswagen Polo 1.5 TDI Highline,Chennai,2017,25000,First,2014,1498,88,5.0,997,6.9,1,0,0,1,6
5164,5313,Audi A6 35 TDI Matrix,Chennai,2015,20000,First,1853,1968,18774,5.0,6767,35.5,1,0,1,0,8
5165,5314,Hyundai Grand i10 1.2 CRDi Sportz,Kochi,2018,32663,First,240,1186,7397,5.0,818,6.28,1,0,0,1,5
5167,5316,Tata Bolt Quadrajet XE,Hyderabad,2016,100303,First,2295,1248,74,5.0,743,3.7,1,0,0,1,7
5172,5321,Maruti Eeco 7 Seater Standard,Mumbai,2014,34670,First,151,1196,73,7.0,471,2.9,0,1,0,1,9
5175,5324,Hyundai Grand i10 1.2 CRDi Sportz,Delhi,2015,59261,First,240,1186,7397,5.0,818,4.25,1,0,0,1,8
5179,5328,BMW 3 Series 320d Luxury Line,Hyderabad,2015,47000,First,2269,1995,190,5.0,5368,29.5,1,0,1,0,8
5182,5331,Ford Ecosport Signature Edition Diesel,Ahmedabad,2018,13000,First,230,1498,9896,5.0,1212,10.9,1,0,0,1,5
5183,5332,Maruti Celerio ZXI MT,Bangalore,2015,48808,First,231,998,6704,5.0,605,4.3,0,1,0,1,8
5190,5339,Hyundai i20 Active SX Dual Tone Petrol,Pune,2019,1000,First,1719,1197,8186,5.0,1025,8.6,0,1,0,1,4
5201,5350,Volkswagen Ameo 1.5 TDI Highline,Pune,2016,20000,First,2166,1498,10862,5.0,1004,6.75,1,0,0,1,7
5204,5353,Volkswagen Polo GT TSI,Kochi,2015,26323,First,1721,1197,1035,5.0,1083,7.4,0,1,1,0,8
5208,5357,Mahindra Bolero ZLX,Jaipur,2016,65000,First,1596,2523,621,7.0,1115,7.21,1,0,0,1,7
5210,5359,Hyundai Xcent 1.2 CRDi S,Kolkata,2017,51000,First,254,1186,7397,5.0,823,4.2,1,0,0,1,6
5217,5366,Toyota Innova Crysta 2.4 GX MT,Hyderabad,2016,73000,First,1368,2393,1478,7.0,1937,16.5,1,0,0,1,7
5226,5375,Maruti Swift LDI,Jaipur,2015,39437,First,284,1248,74,5.0,701,5.15,1,0,0,1,8
5235,5384,Tata Zest Revotron 1.2T XM,Mumbai,2014,36000,First,1757,1193,887,5.0,763,3.7,0,1,0,1,9
5244,5393,Hyundai Grand i10 1.2 Kappa Magna,Pune,2010,45252,First,189,1197,8186,5.0,68,2.25,0,1,0,1,13
5247,5396,Maruti Ertiga VDI,Kochi,2018,51236,First,2547,1248,8850,7.0,1083,8.49,1,0,0,1,5
5266,5415,Maruti Dzire AMT VXI,Chennai,2017,42000,First,220,1197,8180,5.0,813,5.5,0,1,1,0,6
5270,5419,Toyota Corolla Altis 1.8 VL CVT,Coimbatore,2016,82725,First,1428,1798,13803,5.0,2527,11.99,0,1,1,0,7
5271,5420,BMW 3 Series Sport,Mumbai,2016,19000,Second,2176,1995,190,5.0,573,29.99,1,0,1,0,7
5277,5427,Maruti Wagon R VXI AMT,Delhi,2016,30000,First,225,998,67,5.0,568,4.25,0,1,1,0,7
5281,5431,Maruti Vitara Brezza ZDi Plus Dual Tone,Delhi,2016,22000,First,243,1248,885,5.0,1175,8.25,1,0,0,1,7
5284,5434,Honda WR-V Edge Edition i-VTEC S,Kochi,2019,13913,First,175,1199,887,5.0,936,8.2,0,1,0,1,4
5296,5447,Mercedes-Benz GLA Class 200 d Style,Kochi,2016,26212,First,179,2143,136,5.0,3872,24.46,1,0,1,0,7
5297,5448,Tata Zest Revotron 1.2T XMS,Pune,2014,23500,Second,1757,1193,887,5.0,77,3.9,0,1,0,1,9
5299,5450,Maruti Wagon R VXI AMT1.2,Mumbai,2015,26000,First,215,1197,8180,5.0,643,3.65,0,1,1,0,8
5300,5451,Hyundai Xcent 1.2 CRDi S,Kolkata,2016,26000,First,254,1186,7397,5.0,823,5.0,1,0,0,1,7
5313,5465,Maruti Wagon R VXI,Jaipur,2017,35362,First,225,998,6704,5.0,544,3.85,0,1,0,1,6
5318,5470,BMW 3 Series 320d,Bangalore,2010,58000,First,2269,1995,190,5.0,4879,11.5,1,0,1,0,13
5327,5479,Renault KWID Climber 1.0 AMT,Chennai,2018,14000,First,225,999,67,5.0,567,4.5,0,1,1,0,5
5332,5484,Hyundai Creta 1.6 SX Option Diesel,Coimbatore,2016,47392,First,205,1582,1262,5.0,1918,13.82,1,0,0,1,7
5354,5507,Maruti Dzire LDI,Pune,2017,48000,First,284,1248,7375,5.0,791,6.0,1,0,0,1,6
5356,5509,Renault KWID RXL,Jaipur,2016,26000,First,2517,799,533,5.0,396,2.55,0,1,0,1,7
5360,5513,Maruti Alto K10 VXI,Jaipur,2016,35000,First,2407,998,671,5.0,424,3.0,0,1,0,1,7
5363,5516,BMW X3 xDrive 20d Luxury Line,Mumbai,2018,1400,First,1856,1995,190,5.0,7055,61.25,1,0,1,0,5
5365,5518,Mini Cooper 3 DOOR S,Kochi,2016,21110,First,1744,1998,18908,4.0,3927,28.95,0,1,1,0,7
5374,5527,Toyota Etios Liva 1.2 G,Coimbatore,2015,64005,First,1771,1197,789,5.0,641,4.57,0,1,0,1,8
5379,5534,Nissan Micra XV CVT,Mumbai,2015,34895,First,1915,1198,7594,5.0,947,4.6,0,1,1,0,8
5387,5542,Toyota Innova Crysta 2.8 GX AT,Kochi,2017,20789,First,1136,2755,1715,7.0,2074,18.36,1,0,1,0,6
5390,5545,Land Rover Range Rover Sport SE,Delhi,2014,47000,Second,1265,2993,255,5.0,139,64.75,1,0,1,0,9
5403,5558,BMW 5 Series 520d Luxury Line,Coimbatore,2016,75637,First,2248,1995,190,5.0,7182,30.37,1,0,1,0,7
5405,5560,Renault KWID RXT Optional,Kochi,2019,6568,First,2517,799,533,5.0,478,5.09,0,1,0,1,4
5409,5564,BMW 3 Series 320d Luxury Line,Kochi,2016,62404,First,2269,1995,190,5.0,5443,21.33,1,0,1,0,7
5413,5568,BMW 3 Series Luxury Line,Coimbatore,2017,34232,First,2176,1995,190,5.0,5507,35.84,1,0,1,0,6
5414,5569,Honda CR-V Petrol 2WD,Chennai,2004,135000,Third,144,1997,152,5.0,3351,3.0,0,1,1,0,19
5415,5570,Renault Duster 110PS Diesel RxZ AWD,Chennai,2012,80000,First,1972,1461,10845,5.0,1594,6.75,1,0,0,1,11
5427,5582,Toyota Fortuner 2.8 2WD AT,Coimbatore,2019,28069,First,129,2755,1745,7.0,3445,30.85,1,0,1,0,4
5449,5604,Nissan Sunny XV D,Chennai,2012,70000,Second,2271,1461,848,5.0,1148,4.0,1,0,0,1,11
5451,5606,Maruti Wagon R ZXI AMT 1.2,Mumbai,2019,600,First,215,1197,8180,5.0,68,6.25,0,1,1,0,4
5470,5625,Tata Tigor XE Diesel,Ahmedabad,2017,16235,First,247,1047,69,5.0,715,5.5,1,0,0,1,6
5471,5626,Skoda Superb Style 1.8 TSI AT,Kochi,2017,73641,First,1467,1798,17746,5.0,3336,17.08,0,1,1,0,6
5476,5631,Hyundai Verna VTVT 1.6 AT SX Plus,Mumbai,2012,75059,First,170,1591,1213,5.0,137,4.25,0,1,1,0,11
5477,5632,Toyota Etios 1.4 VXD,Pune,2018,3000,First,2359,1364,6704,5.0,1063,7.9,1,0,0,1,5
5489,5644,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2014,52951,First,2014,1498,88,5.0,1032,5.65,1,0,0,1,9
5494,5650,Maruti Eeco 7 Seater Standard,Delhi,2016,126000,First,151,1196,73,7.0,443,2.2,0,1,0,1,7
5522,5679,Volkswagen Vento 1.5 TDI Highline,Hyderabad,2017,28000,First,2064,1498,1085,5.0,142,10.0,1,0,0,1,6
5523,5680,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,46000,First,189,1197,8186,5.0,654,4.75,0,1,0,1,6
5527,5684,Maruti Baleno Zeta,Coimbatore,2018,33150,First,214,1197,831,5.0,871,7.39,0,1,0,1,5
5538,5695,Honda City i-VTEC VX,Ahmedabad,2012,34000,First,174,1497,1173,5.0,1268,5.75,0,1,0,1,11
5551,5708,Honda BRV i-VTEC V CVT,Mumbai,2017,16503,First,160,1497,1173,7.0,1502,9.5,0,1,1,0,6
5557,5715,Honda City i-VTEC CVT V,Kochi,2019,22321,First,180,1497,1173,5.0,134,11.66,0,1,1,0,4
5578,5736,Mahindra KUV 100 G80 K8 Dual Tone,Delhi,2018,42000,First,1815,1198,82,6.0,796,5.5,0,1,0,1,5
5590,5749,Honda City i-VTEC V,Kochi,2018,11732,First,174,1497,1173,5.0,1188,10.07,0,1,0,1,5
5597,5757,Toyota Innova Crysta 2.4 VX MT,Kolkata,2017,31000,First,1368,2393,1478,7.0,2136,16.95,1,0,0,1,6
5601,5762,Volvo S60 D4 Momentum,Hyderabad,2014,51000,First,2703,1969,190,5.0,4567,21.5,1,0,1,0,9
5604,5765,Honda Brio 1.2 S Option MT,Delhi,2012,40315,First,185,1198,868,5.0,592,2.75,0,1,0,1,11
5608,5769,Tata Tiago 1.2 Revotron XZ,Coimbatore,2019,20712,First,2384,1199,84,5.0,659,6.94,0,1,0,1,4
5617,5778,Nissan Terrano XL D Option,Kochi,2015,58817,First,1987,1461,8314,5.0,1506,6.25,1,0,0,1,8
5627,5788,Tata Tiago 1.2 Revotron XZ,Hyderabad,2017,22000,First,2384,1199,84,5.0,642,4.8,0,1,0,1,6
5628,5789,Renault KWID RXL,Kochi,2019,7858,First,2517,799,533,5.0,404,3.8,0,1,0,1,4
5634,5795,Honda Amaze VX Petrol,Mumbai,2014,21000,First,195,1199,8676,5.0,899,4.75,0,1,0,1,9
5638,5799,Volkswagen Vento 1.5 TDI Highline AT,Pune,2016,19000,First,215,1498,1085,5.0,1568,10.0,1,0,1,0,7
5644,5805,Skoda Rapid 1.6 MPI Ambition,Coimbatore,2019,21214,First,1541,1598,10352,5.0,1244,9.66,0,1,0,1,4
5647,5808,Maruti Celerio VXI AMT,Kolkata,2016,30000,First,231,998,6704,5.0,577,3.8,0,1,1,0,7
5658,5819,Renault KWID RXT Optional,Kochi,2017,21954,First,2517,799,533,5.0,478,3.7,0,1,0,1,6
5667,5828,Nissan Micra XV CVT,Coimbatore,2017,54387,First,1915,1198,7594,5.0,951,5.85,0,1,1,0,6
5668,5829,Renault KWID RXT Optional,Mumbai,2018,1617,First,2517,799,533,5.0,478,4.29,0,1,0,1,5
5669,5830,Honda City i-DTEC SV,Hyderabad,2015,82000,First,256,1498,986,5.0,1333,8.0,1,0,0,1,8
5693,5854,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2016,28147,First,189,1197,8186,5.0,662,5.07,0,1,0,1,7
5702,5864,Renault Duster 110PS Diesel RxZ,Bangalore,2014,70000,First,196,1461,10845,5.0,1501,8.25,1,0,0,1,9
5705,5867,Skoda Superb L&K 2.0 TDI AT,Mumbai,2017,35000,First,1819,1968,1745,5.0,4073,25.75,1,0,1,0,6
5710,5872,Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,21248,First,243,1248,885,5.0,1175,9.44,1,0,0,1,6
5712,5875,Mercedes-Benz C-Class Progressive C 220d,Ahmedabad,2019,4000,First,0,1950,194,5.0,4914,35.0,1,0,1,0,4
5715,5879,Mitsubishi Pajero Sport 4X4,Jaipur,2014,70000,Second,135,2477,17556,7.0,3321,11.85,1,0,0,1,9
5728,5894,Hyundai Creta 1.6 SX,Hyderabad,2018,9900,First,158,1591,1213,5.0,1472,13.2,0,1,0,1,5
5738,5905,Tata Zest Quadrajet 1.3 75PS XE,Hyderabad,2016,125000,First,2295,1248,74,5.0,809,4.6,1,0,0,1,7
5740,5907,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,34686,First,196,1461,10845,5.0,1505,11.86,1,0,1,0,6
5756,5923,Skoda Superb Style 2.0 TDI AT,Mumbai,2017,42000,First,1819,1968,1745,5.0,3694,22.99,1,0,1,0,6
5760,5928,Mahindra NuvoSport N6,Coimbatore,2018,37323,Second,1745,1493,100,7.0,1052,7.29,1,0,0,1,5
5771,5940,Maruti Dzire LDI,Pune,2018,27000,First,284,1248,7375,5.0,791,5.9,1,0,0,1,5
5772,5941,Renault KWID RXL,Pune,2018,1000,First,2517,799,533,5.0,445,3.4,0,1,0,1,5
5777,5947,Maruti Ertiga VXI AT Petrol,Mumbai,2017,28000,First,1869,1462,103,7.0,1065,8.0,0,1,1,0,6
5789,5959,Toyota Corolla Altis 1.8 G CVT,Delhi,2010,109703,Second,1428,1798,13803,5.0,2046,4.0,0,1,1,0,13
5794,5964,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2018,8000,First,170,1591,1213,5.0,1514,12.85,0,1,1,0,5
5800,5970,Mercedes-Benz GLA Class 200 Sport,Kochi,2018,17773,First,137,1991,183,5.0,3922,26.76,0,1,1,0,5
5801,5971,Volkswagen Polo 1.5 TDI Highline,Hyderabad,2013,65000,Second,2014,1498,88,5.0,1015,3.5,1,0,0,1,10
5804,5974,Volkswagen Ameo 1.2 MPI Highline,Ahmedabad,2016,34005,First,170,1198,7375,5.0,809,5.75,0,1,0,1,7
5811,5981,Maruti Baleno Alpha,Mumbai,2017,6000,First,214,1197,831,5.0,878,7.5,0,1,0,1,6
5812,5982,Tata Hexa XTA,Jaipur,2016,39000,First,176,2179,15386,7.0,21,13.5,1,0,1,0,7
5816,5987,Tata Tiago 1.2 Revotron XT,Kochi,2017,15386,First,2384,1199,84,5.0,556,5.11,0,1,0,1,6
5818,5989,Audi A4 35 TDI Premium Plus,Coimbatore,2013,58629,Second,1825,1968,18774,5.0,5314,16.52,1,0,1,0,10
5827,5999,Tata Bolt Revotron XT,Chennai,2016,10000,First,1757,1193,887,5.0,777,4.0,0,1,0,1,7
5830,6002,Volkswagen Vento 1.6 Highline,Mumbai,2011,38000,First,1609,1598,1035,5.0,1191,3.25,0,1,0,1,12
5833,6005,Maruti Vitara Brezza VDi,Pune,2016,37208,First,243,1248,885,5.0,993,7.43,1,0,0,1,7
5838,6010,Honda Brio 1.2 VX MT,Delhi,2013,33746,First,185,1198,868,5.0,663,3.2,0,1,0,1,10
5842,6014,Maruti Swift VDI,Delhi,2014,27365,First,284,1248,74,5.0,788,4.75,1,0,0,1,9
